system_id,hostname,ip_address,timestamp,uptime,os_type,os_version,os_release,kernel_version,architecture,platform,cpu_model,cpu_cores,cpu_threads,cpu_freq_current,cpu_freq_max,cpu_usage,cpu_user,cpu_system,cpu_idle,cpu_iowait,load_1m,load_5m,load_15m,ram_total,ram_used,ram_free,ram_percent,swap_percent,disk_type,disk_total,disk_used,disk_free,disk_percent,disk_io_wait,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv,net_packets_sent,net_packets_recv,net_rtt,process_count,thread_count,top_process_cpu,top_process_memory,cpu_temp,fan_speed,power_usage
4,server-mac-01,192.168.1.40,01-01-26 0:00,300000,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Intel Xeon E5-2670,8,16,2.08,3.1,40.1,26.07,10.03,59.9,7.01,2.01,1.82,1.6,16,10.14,5.86,63.38,4.81,NVMe,2000,729.09,1270.91,36.45,7.01,290937,206640,184017,267680,2457,2342,5.72,112,448,14.89,12,66.96,3132,181
2,server-win-01,192.168.1.20,01-01-26 0:00,300010,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,Intel i7-9750H,6,12,2.49,4,37.4,24.31,9.35,62.6,7.06,1.87,1.7,1.5,32,19.11,12.89,59.73,6.95,SSD,2000,1064.65,935.35,53.23,7.06,222759,195133,149257,327590,1887,2499,16.72,125,500,14.67,11.92,47.34,2770,226
3,server-linux-02,192.168.1.30,01-01-26 0:00,300020,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Apple M1,8,8,2.02,3.2,39.79,25.86,9.95,60.21,5.91,1.99,1.81,1.59,16,10.6,5.4,66.26,7.81,HDD,512,315.9,196.1,61.7,5.91,236790,120277,124865,234509,2421,3100,9.66,106,424,13.86,6.23,50.64,3208,229
4,server-mac-01,192.168.1.40,01-01-26 0:00,300030,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,Intel Xeon E5-2670,8,16,2.28,3.1,54.1,35.16,13.52,45.9,4.6,2.7,2.46,2.16,64,31.87,32.13,49.79,3.64,HDD,1000,657.37,342.63,65.74,4.6,172656,155943,223676,182847,2593,2787,16.48,128,512,26.51,7.03,65.1,3184,185
2,server-win-01,192.168.1.20,01-01-26 0:00,300040,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Intel i7-9750H,6,12,3.22,4,38.7,25.16,9.68,61.3,7.09,1.94,1.76,1.55,32,12.48,19.52,39,6.87,SSD,1000,607.51,392.49,60.75,7.09,164971,255339,195302,255207,2522,2916,13.42,133,532,24.5,7.33,59.11,2676,243
2,server-win-01,192.168.1.20,01-01-26 0:00,300050,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Apple M1,8,8,2.64,3.2,28.93,18.8,7.23,71.07,3.33,1.45,1.31,1.16,16,7.11,8.89,44.45,8.01,NVMe,2000,900.73,1099.27,45.04,3.33,344723,257582,200264,229867,2306,2313,12.24,130,520,24.77,5.96,56.65,2222,235
3,server-linux-02,192.168.1.30,01-01-26 0:01,300060,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,Intel i7-9750H,6,12,2.2,4,40.64,26.41,10.16,59.36,3.16,2.03,1.85,1.63,32,16.46,15.54,51.43,6.96,HDD,512,329.68,182.32,64.39,3.16,221815,224850,197011,246468,2105,2459,7.9,140,560,13.49,10.64,54.65,3385,222
2,server-win-01,192.168.1.20,01-01-26 0:01,300070,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,Intel Xeon E5-2670,8,16,2.77,3.1,50.33,32.71,12.58,49.67,7.55,2.52,2.29,2.01,16,6.75,9.25,42.19,4.83,NVMe,1000,338.47,661.53,33.85,7.55,328288,228803,247931,163152,1698,2560,9.49,93,372,9.77,13.44,60.67,3084,226
3,server-linux-02,192.168.1.30,01-01-26 0:01,300080,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,AMD Ryzen 7 3700X,8,16,2.69,4.4,28.45,18.49,7.11,71.55,9.08,1.42,1.29,1.14,16,5.91,10.09,36.92,4.5,SSD,1000,631.49,368.51,63.15,9.08,183748,266176,201148,280654,2024,2731,10.56,137,548,27.48,11.06,55.59,3032,221
4,server-mac-01,192.168.1.40,01-01-26 0:01,300090,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,AMD Ryzen 7 3700X,8,16,2.37,4.4,39.69,25.8,9.92,60.31,7.16,1.98,1.8,1.59,16,8.02,7.98,50.12,6.17,NVMe,512,269.56,242.44,52.65,7.16,172365,146894,205131,251990,2485,2403,11.46,97,388,33.29,6.98,54.46,3188,227
